Number,Title,Link,Premium,Acceptance,Difficulty
1060,Missing Element in Sorted Array,https://leetcode.com/problems/missing-element-in-sorted-array,False,59.1%,Med.
1061,Lexicographically Smallest Equivalent String,https://leetcode.com/problems/lexicographically-smallest-equivalent-string,False,81.1%,Med.
1062,Longest Repeating Substring,https://leetcode.com/problems/longest-repeating-substring,False,63.2%,Med.
1063,Number of Valid Subarrays,https://leetcode.com/problems/number-of-valid-subarrays,False,79.4%,Hard
1064,Fixed Point,https://leetcode.com/problems/fixed-point,False,63.8%,Easy
1065,Index Pairs of a String,https://leetcode.com/problems/index-pairs-of-a-string,False,68.3%,Easy
1066,Campus Bikes II,https://leetcode.com/problems/campus-bikes-ii,False,55.3%,Med.
1067,Digit Count in Range,https://leetcode.com/problems/digit-count-in-range,False,46.1%,Hard
1068,Product Sales Analysis I,https://leetcode.com/problems/product-sales-analysis-i,False,85.0%,Easy
1069,Product Sales Analysis II,https://leetcode.com/problems/product-sales-analysis-ii,False,82.4%,Easy
1070,Product Sales Analysis III,https://leetcode.com/problems/product-sales-analysis-iii,False,44.9%,Med.
1071,Greatest Common Divisor of Strings,https://leetcode.com/problems/greatest-common-divisor-of-strings,False,52.9%,Easy
1072,Flip Columns For Maximum Number of Equal Rows,https://leetcode.com/problems/flip-columns-for-maximum-number-of-equal-rows,False,78.6%,Med.
1073,Adding Two Negabinary Numbers,https://leetcode.com/problems/adding-two-negabinary-numbers,False,37.0%,Med.
1074,Number of Submatrices That Sum to Target,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,False,74.5%,Hard
1075,Project Employees I,https://leetcode.com/problems/project-employees-i,False,65.9%,Easy
1076,Project Employees II,https://leetcode.com/problems/project-employees-ii,False,50.3%,Easy
1077,Project Employees III,https://leetcode.com/problems/project-employees-iii,False,77.1%,Med.
1078,Occurrences After Bigram,https://leetcode.com/problems/occurrences-after-bigram,False,63.7%,Easy
1079,Letter Tile Possibilities,https://leetcode.com/problems/letter-tile-possibilities,False,83.6%,Med.
1080,Insufficient Nodes in Root to Leaf Paths,https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths,False,54.0%,Med.
1081,Smallest Subsequence of Distinct Characters,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,False,62.3%,Med.
1082,Sales Analysis I,https://leetcode.com/problems/sales-analysis-i,False,74.8%,Easy
1083,Sales Analysis II,https://leetcode.com/problems/sales-analysis-ii,False,50.0%,Easy
1084,Sales Analysis III,https://leetcode.com/problems/sales-analysis-iii,False,46.8%,Easy
1085,Sum of Digits in the Minimum Number,https://leetcode.com/problems/sum-of-digits-in-the-minimum-number,False,76.6%,Easy
1086,High Five,https://leetcode.com/problems/high-five,False,74.3%,Easy
1087,Brace Expansion,https://leetcode.com/problems/brace-expansion,False,66.8%,Med.
1088,Confusing Number II,https://leetcode.com/problems/confusing-number-ii,False,47.1%,Hard
1089,Duplicate Zeros,https://leetcode.com/problems/duplicate-zeros,False,52.9%,Easy
1090,Largest Values From Labels,https://leetcode.com/problems/largest-values-from-labels,False,63.5%,Med.
1091,Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix,False,50.3%,Med.
1092,Shortest Common Supersequence,https://leetcode.com/problems/shortest-common-supersequence,False,61.5%,Hard
1093,Statistics from a Large Sample,https://leetcode.com/problems/statistics-from-a-large-sample,False,42.4%,Med.
1094,Car Pooling,https://leetcode.com/problems/car-pooling,False,56.1%,Med.
1095,Find in Mountain Array,https://leetcode.com/problems/find-in-mountain-array,False,40.6%,Hard
1096,Brace Expansion II,https://leetcode.com/problems/brace-expansion-ii,False,63.3%,Hard
1097,Game Play Analysis V,https://leetcode.com/problems/game-play-analysis-v,False,50.6%,Hard
1098,Unpopular Books,https://leetcode.com/problems/unpopular-books,False,43.4%,Med.
1099,Two Sum Less Than K,https://leetcode.com/problems/two-sum-less-than-k,False,62.0%,Easy
1100,Find K-Length Substrings With No Repeated Characters,https://leetcode.com/problems/find-k-length-substrings-with-no-repeated-characters,False,76.3%,Med.
1101,The Earliest Moment When Everyone Become Friends,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,False,65.7%,Med.
1102,Path With Maximum Minimum Value,https://leetcode.com/problems/path-with-maximum-minimum-value,False,54.2%,Med.
1103,Distribute Candies to People,https://leetcode.com/problems/distribute-candies-to-people,False,66.8%,Easy
1104,Path In Zigzag Labelled Binary Tree,https://leetcode.com/problems/path-in-zigzag-labelled-binary-tree,False,75.6%,Med.
1105,Filling Bookcase Shelves,https://leetcode.com/problems/filling-bookcase-shelves,False,68.6%,Med.
1106,Parsing A Boolean Expression,https://leetcode.com/problems/parsing-a-boolean-expression,False,69.8%,Hard
1107,New Users Daily Count,https://leetcode.com/problems/new-users-daily-count,False,45.1%,Med.
1108,Defanging an IP Address,https://leetcode.com/problems/defanging-an-ip-address,False,89.8%,Easy
1109,Corporate Flight Bookings,https://leetcode.com/problems/corporate-flight-bookings,False,65.1%,Med.
1110,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest,False,72.4%,Med.
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,https://leetcode.com/problems/maximum-nesting-depth-of-two-valid-parentheses-strings,False,71.5%,Med.
1112,Highest Grade For Each Student,https://leetcode.com/problems/highest-grade-for-each-student,False,71.2%,Med.
1113,Reported Posts,https://leetcode.com/problems/reported-posts,False,65.1%,Easy
1114,Print in Order,https://leetcode.com/problems/print-in-order,False,71.9%,Easy
1115,Print FooBar Alternately,https://leetcode.com/problems/print-foobar-alternately,False,70.4%,Med.
1116,Print Zero Even Odd,https://leetcode.com/problems/print-zero-even-odd,False,64.1%,Med.
1117,Building H2O,https://leetcode.com/problems/building-h2o,False,57.9%,Med.
1118,Number of Days in a Month,https://leetcode.com/problems/number-of-days-in-a-month,False,59.2%,Easy
1119,Remove Vowels from a String,https://leetcode.com/problems/remove-vowels-from-a-string,False,91.2%,Easy
1120,Maximum Average Subtree,https://leetcode.com/problems/maximum-average-subtree,False,66.9%,Med.
1121,Divide Array Into Increasing Sequences,https://leetcode.com/problems/divide-array-into-increasing-sequences,False,60.6%,Hard
1122,Relative Sort Array,https://leetcode.com/problems/relative-sort-array,False,75.0%,Easy
1123,Lowest Common Ancestor of Deepest Leaves,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves,False,79.0%,Med.
1124,Longest Well-Performing Interval,https://leetcode.com/problems/longest-well-performing-interval,False,36.2%,Med.
1125,Smallest Sufficient Team,https://leetcode.com/problems/smallest-sufficient-team,False,55.3%,Hard
1126,Active Businesses,https://leetcode.com/problems/active-businesses,False,66.0%,Med.
1127,User Purchase Platform,https://leetcode.com/problems/user-purchase-platform,False,47.1%,Hard
1128,Number of Equivalent Domino Pairs,https://leetcode.com/problems/number-of-equivalent-domino-pairs,False,60.6%,Easy
1129,Shortest Path with Alternating Colors,https://leetcode.com/problems/shortest-path-with-alternating-colors,False,47.4%,Med.
1130,Minimum Cost Tree From Leaf Values,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,False,67.7%,Med.
1131,Maximum of Absolute Value Expression,https://leetcode.com/problems/maximum-of-absolute-value-expression,False,48.3%,Med.
1132,Reported Posts II,https://leetcode.com/problems/reported-posts-ii,False,32.1%,Med.
1133,Largest Unique Number,https://leetcode.com/problems/largest-unique-number,False,70.9%,Easy
1134,Armstrong Number,https://leetcode.com/problems/armstrong-number,False,77.9%,Easy
1135,Connecting Cities With Minimum Cost,https://leetcode.com/problems/connecting-cities-with-minimum-cost,False,62.7%,Med.
1136,Parallel Courses,https://leetcode.com/problems/parallel-courses,False,61.9%,Med.
1137,N-th Tribonacci Number,https://leetcode.com/problems/n-th-tribonacci-number,False,63.5%,Easy
1138,Alphabet Board Path,https://leetcode.com/problems/alphabet-board-path,False,51.6%,Med.
1139,Largest 1-Bordered Square,https://leetcode.com/problems/largest-1-bordered-square,False,51.4%,Med.
1140,Stone Game II,https://leetcode.com/problems/stone-game-ii,False,73.0%,Med.
1141,User Activity for the Past 30 Days I,https://leetcode.com/problems/user-activity-for-the-past-30-days-i,False,49.7%,Easy
1142,User Activity for the Past 30 Days II,https://leetcode.com/problems/user-activity-for-the-past-30-days-ii,False,35.7%,Easy
1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence,False,58.4%,Med.
1144,Decrease Elements To Make Array Zigzag,https://leetcode.com/problems/decrease-elements-to-make-array-zigzag,False,48.6%,Med.
1145,Binary Tree Coloring Game,https://leetcode.com/problems/binary-tree-coloring-game,False,52.6%,Med.
1146,Snapshot Array,https://leetcode.com/problems/snapshot-array,False,36.7%,Med.
1147,Longest Chunked Palindrome Decomposition,https://leetcode.com/problems/longest-chunked-palindrome-decomposition,False,58.9%,Hard
1148,Article Views I,https://leetcode.com/problems/article-views-i,False,77.0%,Easy
1149,Article Views II,https://leetcode.com/problems/article-views-ii,False,47.2%,Med.
1150,Check If a Number Is Majority Element in a Sorted Array,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array,False,59.1%,Easy
1151,Minimum Swaps to Group All 1's Together,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,False,61.1%,Med.
1152,Analyze User Website Visit Pattern,https://leetcode.com/problems/analyze-user-website-visit-pattern,False,43.9%,Med.
1153,String Transforms Into Another String,https://leetcode.com/problems/string-transforms-into-another-string,False,34.7%,Hard
1154,Day of the Year,https://leetcode.com/problems/day-of-the-year,False,48.5%,Easy
1155,Number of Dice Rolls With Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum,False,61.8%,Med.
1156,Swap For Longest Repeated Character Substring,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,False,43.8%,Med.
1157,Online Majority Element In Subarray,https://leetcode.com/problems/online-majority-element-in-subarray,False,39.5%,Hard
1158,Market Analysis I,https://leetcode.com/problems/market-analysis-i,False,57.1%,Med.
1159,Market Analysis II,https://leetcode.com/problems/market-analysis-ii,False,57.7%,Hard
1160,Find Words That Can Be Formed by Characters,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,False,71.2%,Easy
1161,Maximum Level Sum of a Binary Tree,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree,False,67.4%,Med.
1162,As Far from Land as Possible,https://leetcode.com/problems/as-far-from-land-as-possible,False,51.9%,Med.
1163,Last Substring in Lexicographical Order,https://leetcode.com/problems/last-substring-in-lexicographical-order,False,34.6%,Hard
1164,Product Price at a Given Date,https://leetcode.com/problems/product-price-at-a-given-date,False,57.5%,Med.
1165,Single-Row Keyboard,https://leetcode.com/problems/single-row-keyboard,False,87.7%,Easy
1166,Design File System,https://leetcode.com/problems/design-file-system,False,64.8%,Med.
1167,Minimum Cost to Connect Sticks,https://leetcode.com/problems/minimum-cost-to-connect-sticks,False,71.4%,Med.
1168,Optimize Water Distribution in a Village,https://leetcode.com/problems/optimize-water-distribution-in-a-village,False,65.2%,Hard
1169,Invalid Transactions,https://leetcode.com/problems/invalid-transactions,False,31.3%,Med.
1170,Compare Strings by Frequency of the Smallest Character,https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character,False,62.8%,Med.
1171,Remove Zero Sum Consecutive Nodes from Linked List,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,False,53.0%,Med.
1172,Dinner Plate Stacks,https://leetcode.com/problems/dinner-plate-stacks,False,33.0%,Hard
1173,Immediate Food Delivery I,https://leetcode.com/problems/immediate-food-delivery-i,False,80.9%,Easy
1174,Immediate Food Delivery II,https://leetcode.com/problems/immediate-food-delivery-ii,False,54.8%,Med.
1175,Prime Arrangements,https://leetcode.com/problems/prime-arrangements,False,60.0%,Easy
1176,Diet Plan Performance,https://leetcode.com/problems/diet-plan-performance,False,54.3%,Easy
1177,Can Make Palindrome from Substring,https://leetcode.com/problems/can-make-palindrome-from-substring,False,40.5%,Med.
1178,Number of Valid Words for Each Puzzle,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,False,47.3%,Hard
1179,Reformat Department Table,https://leetcode.com/problems/reformat-department-table,False,76.6%,Easy
1180,Count Substrings with Only One Distinct Letter,https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter,False,80.7%,Easy
1181,Before and After Puzzle,https://leetcode.com/problems/before-and-after-puzzle,False,49.1%,Med.
1182,Shortest Distance to Target Color,https://leetcode.com/problems/shortest-distance-to-target-color,False,55.5%,Med.
1183,Maximum Number of Ones,https://leetcode.com/problems/maximum-number-of-ones,False,68.9%,Hard
1184,Distance Between Bus Stops,https://leetcode.com/problems/distance-between-bus-stops,False,54.8%,Easy
1185,Day of the Week,https://leetcode.com/problems/day-of-the-week,False,58.7%,Easy
1186,Maximum Subarray Sum with One Deletion,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,False,45.4%,Med.
1187,Make Array Strictly Increasing,https://leetcode.com/problems/make-array-strictly-increasing,False,57.8%,Hard
1188,Design Bounded Blocking Queue,https://leetcode.com/problems/design-bounded-blocking-queue,False,73.1%,Med.
1189,Maximum Number of Balloons,https://leetcode.com/problems/maximum-number-of-balloons,False,59.8%,Easy
1190,Reverse Substrings Between Each Pair of Parentheses,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,False,71.8%,Med.
1191,K-Concatenation Maximum Sum,https://leetcode.com/problems/k-concatenation-maximum-sum,False,24.4%,Med.
1192,Critical Connections in a Network,https://leetcode.com/problems/critical-connections-in-a-network,False,58.4%,Hard
1193,Monthly Transactions I,https://leetcode.com/problems/monthly-transactions-i,False,58.4%,Med.
1194,Tournament Winners,https://leetcode.com/problems/tournament-winners,False,49.9%,Hard
1195,Fizz Buzz Multithreaded,https://leetcode.com/problems/fizz-buzz-multithreaded,False,74.3%,Med.
1196,How Many Apples Can You Put into the Basket,https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket,False,67.0%,Easy
1197,Minimum Knight Moves,https://leetcode.com/problems/minimum-knight-moves,False,41.4%,Med.
1198,Find Smallest Common Element in All Rows,https://leetcode.com/problems/find-smallest-common-element-in-all-rows,False,76.8%,Med.
1199,Minimum Time to Build Blocks,https://leetcode.com/problems/minimum-time-to-build-blocks,False,46.2%,Hard
1200,Minimum Absolute Difference,https://leetcode.com/problems/minimum-absolute-difference,False,70.8%,Easy
1201,Ugly Number III,https://leetcode.com/problems/ugly-number-iii,False,30.7%,Med.
1202,Smallest String With Swaps,https://leetcode.com/problems/smallest-string-with-swaps,False,59.7%,Med.
1203,Sort Items by Groups Respecting Dependencies,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,False,65.6%,Hard
1204,Last Person to Fit in the Bus,https://leetcode.com/problems/last-person-to-fit-in-the-bus,False,68.6%,Med.
1205,Monthly Transactions II,https://leetcode.com/problems/monthly-transactions-ii,False,42.0%,Med.
1206,Design Skiplist,https://leetcode.com/problems/design-skiplist,False,58.6%,Hard
1207,Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences,False,78.4%,Easy
1208,Get Equal Substrings Within Budget,https://leetcode.com/problems/get-equal-substrings-within-budget,False,59.1%,Med.
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,False,59.9%,Med.
1210,Minimum Moves to Reach Target with Rotations,https://leetcode.com/problems/minimum-moves-to-reach-target-with-rotations,False,51.0%,Hard
1211,Queries Quality and Percentage,https://leetcode.com/problems/queries-quality-and-percentage,False,49.6%,Easy
1212,Team Scores in Football Tournament,https://leetcode.com/problems/team-scores-in-football-tournament,False,55.8%,Med.
1213,Intersection of Three Sorted Arrays,https://leetcode.com/problems/intersection-of-three-sorted-arrays,False,80.1%,Easy
1214,Two Sum BSTs,https://leetcode.com/problems/two-sum-bsts,False,67.4%,Med.
1215,Stepping Numbers,https://leetcode.com/problems/stepping-numbers,False,47.8%,Med.
1216,Valid Palindrome III,https://leetcode.com/problems/valid-palindrome-iii,False,49.1%,Hard
1217,Minimum Cost to Move Chips to The Same Position,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,False,72.5%,Easy
1218,Longest Arithmetic Subsequence of Given Difference,https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference,False,54.4%,Med.
1219,Path with Maximum Gold,https://leetcode.com/problems/path-with-maximum-gold,False,68.2%,Med.
1220,Count Vowels Permutation,https://leetcode.com/problems/count-vowels-permutation,False,61.4%,Hard
1221,Split a String in Balanced Strings,https://leetcode.com/problems/split-a-string-in-balanced-strings,False,86.9%,Easy
1222,Queens That Can Attack the King,https://leetcode.com/problems/queens-that-can-attack-the-king,False,72.3%,Med.
1223,Dice Roll Simulation,https://leetcode.com/problems/dice-roll-simulation,False,50.2%,Hard
1224,Maximum Equal Frequency,https://leetcode.com/problems/maximum-equal-frequency,False,37.7%,Hard
1225,Report Contiguous Dates,https://leetcode.com/problems/report-contiguous-dates,False,57.2%,Hard
1226,The Dining Philosophers,https://leetcode.com/problems/the-dining-philosophers,False,54.7%,Med.
1227,Airplane Seat Assignment Probability,https://leetcode.com/problems/airplane-seat-assignment-probability,False,66.8%,Med.
1228,Missing Number In Arithmetic Progression,https://leetcode.com/problems/missing-number-in-arithmetic-progression,False,52.1%,Easy
1229,Meeting Scheduler,https://leetcode.com/problems/meeting-scheduler,False,55.2%,Med.
1230,Toss Strange Coins,https://leetcode.com/problems/toss-strange-coins,False,58.1%,Med.
1231,Divide Chocolate,https://leetcode.com/problems/divide-chocolate,False,60.1%,Hard
1232,Check If It Is a Straight Line,https://leetcode.com/problems/check-if-it-is-a-straight-line,False,39.8%,Easy
1233,Remove Sub-Folders from the Filesystem,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,False,78.6%,Med.
1234,Replace the Substring for Balanced String,https://leetcode.com/problems/replace-the-substring-for-balanced-string,False,39.8%,Med.
1235,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling,False,54.5%,Hard
1236,Web Crawler,https://leetcode.com/problems/web-crawler,False,68.7%,Med.
1237,Find Positive Integer Solution for a Given Equation,https://leetcode.com/problems/find-positive-integer-solution-for-a-given-equation,False,69.6%,Med.
1238,Circular Permutation in Binary Representation,https://leetcode.com/problems/circular-permutation-in-binary-representation,False,71.9%,Med.
1239,Maximum Length of a Concatenated String with Unique Characters,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters,False,54.3%,Med.
1240,Tiling a Rectangle with the Fewest Squares,https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares,False,54.5%,Hard
1241,Number of Comments per Post,https://leetcode.com/problems/number-of-comments-per-post,False,66.0%,Easy
1242,Web Crawler Multithreaded,https://leetcode.com/problems/web-crawler-multithreaded,False,50.3%,Med.
1243,Array Transformation,https://leetcode.com/problems/array-transformation,False,53.2%,Easy
1244,Design A Leaderboard,https://leetcode.com/problems/design-a-leaderboard,False,67.9%,Med.
1245,Tree Diameter,https://leetcode.com/problems/tree-diameter,False,61.1%,Med.
1246,Palindrome Removal,https://leetcode.com/problems/palindrome-removal,False,46.3%,Hard
1247,Minimum Swaps to Make Strings Equal,https://leetcode.com/problems/minimum-swaps-to-make-strings-equal,False,64.9%,Med.
1248,Count Number of Nice Subarrays,https://leetcode.com/problems/count-number-of-nice-subarrays,False,73.9%,Med.
1249,Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,False,70.9%,Med.
1250,Check If It Is a Good Array,https://leetcode.com/problems/check-if-it-is-a-good-array,False,61.7%,Hard
1251,Average Selling Price,https://leetcode.com/problems/average-selling-price,False,36.8%,Easy
1252,Cells with Odd Values in a Matrix,https://leetcode.com/problems/cells-with-odd-values-in-a-matrix,False,79.3%,Easy
1253,Reconstruct a 2-Row Binary Matrix,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,False,48.0%,Med.
1254,Number of Closed Islands,https://leetcode.com/problems/number-of-closed-islands,False,66.8%,Med.
1255,Maximum Score Words Formed by Letters,https://leetcode.com/problems/maximum-score-words-formed-by-letters,False,81.6%,Hard
1256,Encode Number,https://leetcode.com/problems/encode-number,False,70.1%,Med.
1257,Smallest Common Region,https://leetcode.com/problems/smallest-common-region,False,68.1%,Med.
1258,Synonymous Sentences,https://leetcode.com/problems/synonymous-sentences,False,56.7%,Med.
1259,Handshakes That Don't Cross,https://leetcode.com/problems/handshakes-that-dont-cross,False,60.0%,Hard
1260,Shift 2D Grid,https://leetcode.com/problems/shift-2d-grid,False,67.8%,Easy
1261,Find Elements in a Contaminated Binary Tree,https://leetcode.com/problems/find-elements-in-a-contaminated-binary-tree,False,84.0%,Med.
1262,Greatest Sum Divisible by Three,https://leetcode.com/problems/greatest-sum-divisible-by-three,False,51.0%,Med.
1263,Minimum Moves to Move a Box to Their Target Location,https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location,False,49.0%,Hard
1264,Page Recommendations,https://leetcode.com/problems/page-recommendations,False,65.4%,Med.
1265,Print Immutable Linked List in Reverse,https://leetcode.com/problems/print-immutable-linked-list-in-reverse,False,94.1%,Med.
1266,Minimum Time Visiting All Points,https://leetcode.com/problems/minimum-time-visiting-all-points,False,82.6%,Easy
1267,Count Servers that Communicate,https://leetcode.com/problems/count-servers-that-communicate,False,73.5%,Med.
1268,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system,False,65.1%,Med.
1269,Number of Ways to Stay in the Same Place After Some Steps,https://leetcode.com/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps,False,50.0%,Hard
1270,All People Report to the Given Manager,https://leetcode.com/problems/all-people-report-to-the-given-manager,False,84.2%,Med.
1271,Hexspeak,https://leetcode.com/problems/hexspeak,False,58.4%,Easy
1272,Remove Interval,https://leetcode.com/problems/remove-interval,False,66.9%,Med.
1273,Delete Tree Nodes,https://leetcode.com/problems/delete-tree-nodes,False,61.3%,Med.
1274,Number of Ships in a Rectangle,https://leetcode.com/problems/number-of-ships-in-a-rectangle,False,68.8%,Hard
1275,Find Winner on a Tic Tac Toe Game,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,False,54.2%,Easy
1276,Number of Burgers with No Waste of Ingredients,https://leetcode.com/problems/number-of-burgers-with-no-waste-of-ingredients,False,50.5%,Med.
1277,Count Square Submatrices with All Ones,https://leetcode.com/problems/count-square-submatrices-with-all-ones,False,80.6%,Med.
1278,Palindrome Partitioning III,https://leetcode.com/problems/palindrome-partitioning-iii,False,61.8%,Hard
1279,Traffic Light Controlled Intersection,https://leetcode.com/problems/traffic-light-controlled-intersection,False,72.7%,Easy
1280,Students and Examinations,https://leetcode.com/problems/students-and-examinations,False,60.7%,Easy
1281,Subtract the Product and Sum of Digits of an Integer,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer,False,86.6%,Easy
1282,Group the People Given the Group Size They Belong To,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,False,87.5%,Med.
1283,Find the Smallest Divisor Given a Threshold,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,False,64.4%,Med.
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,False,72.2%,Hard
1285,Find the Start and End Number of Continuous Ranges,https://leetcode.com/problems/find-the-start-and-end-number-of-continuous-ranges,False,81.9%,Med.
1286,Iterator for Combination,https://leetcode.com/problems/iterator-for-combination,False,72.6%,Med.
1287,Element Appearing More Than 25% In Sorted Array,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array,False,61.1%,Easy
1288,Remove Covered Intervals,https://leetcode.com/problems/remove-covered-intervals,False,56.2%,Med.
1289,Minimum Falling Path Sum II,https://leetcode.com/problems/minimum-falling-path-sum-ii,False,63.6%,Hard
1290,Convert Binary Number in a Linked List to Integer,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,False,82.3%,Easy
1291,Sequential Digits,https://leetcode.com/problems/sequential-digits,False,65.3%,Med.
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,False,53.6%,Med.
1293,Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,False,45.7%,Hard
1294,Weather Type in Each Country,https://leetcode.com/problems/weather-type-in-each-country,False,67.0%,Easy
1295,Find Numbers with Even Number of Digits,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,False,79.5%,Easy
1296,Divide Array in Sets of K Consecutive Numbers,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers,False,58.9%,Med.
1297,Maximum Number of Occurrences of a Substring,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,False,53.7%,Med.
1298,Maximum Candies You Can Get from Boxes,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,False,68.4%,Hard
1299,Replace Elements with Greatest Element on Right Side,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,False,71.6%,Easy
1300,Sum of Mutated Array Closest to Target,https://leetcode.com/problems/sum-of-mutated-array-closest-to-target,False,45.6%,Med.
1301,Number of Paths with Max Score,https://leetcode.com/problems/number-of-paths-with-max-score,False,41.3%,Hard
1302,Deepest Leaves Sum,https://leetcode.com/problems/deepest-leaves-sum,False,86.4%,Med.
1303,Find the Team Size,https://leetcode.com/problems/find-the-team-size,False,89.7%,Easy
1304,Find N Unique Integers Sum up to Zero,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero,False,76.2%,Easy
1305,All Elements in Two Binary Search Trees,https://leetcode.com/problems/all-elements-in-two-binary-search-trees,False,80.1%,Med.
1306,Jump Game III,https://leetcode.com/problems/jump-game-iii,False,66.3%,Med.
1307,Verbal Arithmetic Puzzle,https://leetcode.com/problems/verbal-arithmetic-puzzle,False,34.8%,Hard
1308,Running Total for Different Genders,https://leetcode.com/problems/running-total-for-different-genders,False,86.3%,Med.
1309,Decrypt String from Alphabet to Integer Mapping,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping,False,80.3%,Easy
1310,XOR Queries of a Subarray,https://leetcode.com/problems/xor-queries-of-a-subarray,False,78.3%,Med.
1311,Get Watched Videos by Your Friends,https://leetcode.com/problems/get-watched-videos-by-your-friends,False,50.3%,Med.
1312,Minimum Insertion Steps to Make a String Palindrome,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,False,73.0%,Hard
1313,Decompress Run-Length Encoded List,https://leetcode.com/problems/decompress-run-length-encoded-list,False,86.1%,Easy
1314,Matrix Block Sum,https://leetcode.com/problems/matrix-block-sum,False,76.0%,Med.
1315,Sum of Nodes with Even-Valued Grandparent,https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent,False,85.8%,Med.
1316,Distinct Echo Substrings,https://leetcode.com/problems/distinct-echo-substrings,False,52.3%,Hard
1317,Convert Integer to the Sum of Two No-Zero Integers,https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers,False,54.3%,Easy
1318,Minimum Flips to Make a OR b Equal to c,https://leetcode.com/problems/minimum-flips-to-make-a-or-b-equal-to-c,False,71.8%,Med.
1319,Number of Operations to Make Network Connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected,False,65.3%,Med.
1320,Minimum Distance to Type a Word Using Two Fingers,https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers,False,59.1%,Hard
1321,Restaurant Growth,https://leetcode.com/problems/restaurant-growth,False,57.1%,Med.
1322,Ads Performance,https://leetcode.com/problems/ads-performance,False,59.0%,Easy
1323,Maximum 69 Number,https://leetcode.com/problems/maximum-69-number,False,84.4%,Easy
1324,Print Words Vertically,https://leetcode.com/problems/print-words-vertically,False,66.6%,Med.
